family,template_label,url,path,device,page_intent_class,lh_perf_score,lcp_ms,lcp_display,lcp_cwv_lab,cls,cls_cwv_lab,inp_field,tbt_ms,tbt_inp_proxy_risk,fcp_ms,tti_ms,speed_index_ms,ttfb_lh_ms,ttfb_curl_s,total_transfer_bytes,unused_js_bytes,third_party_entities,html_bytes_curl,word_count_approx,content_without_js,title_in_html,h1_in_html,meta_desc_in_html,img_count,img_lazy_count,table_count,answer_early,long_intro,intro_chars_before_h2,cookie_mention_html,affiliate_mention_html,abandonment_signals,evidence_file
services_hub,Services hub,https://www.expatcopilot.com/netherlands/services,/netherlands/services,mobile,Commercial/services hub,0.71,5463,5.5 s,poor,0,good,not_measured,364,moderate_risk,1236,5463,1490,17,0.401,743636,600,2,39436,2393,True,True,True,True,2,0,0,True,False,634,True,True,performance_induced_risk|navigation_choice_overload_possible,services_hub-mobile.json
tool_col_calculator,COL calculator,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator,/netherlands/money/tools/cost-of-living-calculator,mobile,Interactive tool,0.87,3490,3.5 s,needs_improvement,0,good,not_measured,210,moderate_risk,1240,3988,2332,14,0.545,765577,300,2,48053,3646,True,True,True,True,9,7,0,True,False,672,True,True,none_flagged,tool_col_calculator-mobile.json
tool_col_calculator,COL calculator,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator,/netherlands/money/tools/cost-of-living-calculator,desktop,Interactive tool,0.99,742,0.7 s,good,0,good,not_measured,,low_risk,331,742,934,19,0.545,747859,40,2,48053,3646,True,True,True,True,9,7,0,True,False,672,True,True,none_flagged,tool_col_desktop.json
tool_visa_checker,Visa checker,https://www.expatcopilot.com/netherlands/visa-checker,/netherlands/visa-checker,mobile,Interactive tool,0.61,5285,5.3 s,poor,0,good,not_measured,521,moderate_risk,2966,5617,3478,19,0.272,758592,750,2,31124,1976,True,True,True,True,15,13,0,True,False,628,True,True,performance_induced_risk|tool_abandonment_risk,tool_visa_checker-mobile.json
trust_about,Trust/about,https://www.expatcopilot.com/about,/about,mobile,Trust / brand,0.78,4876,4.9 s,poor,0,good,not_measured,90,low_risk,2556,4876,2986,18,0.502,698466,600,2,14363,992,True,True,True,True,1,0,0,True,False,204,True,True,performance_induced_risk,trust_about-mobile.json
ymyl_health,YMYL health,https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands,/netherlands/health/health-insurance-comparison-netherlands,mobile,YMYL comparison,0.91,3326,3.3 s,needs_improvement,0,good,not_measured,111,low_risk,1376,6427,1376,19,0.117,2320330,300,2,101682,6901,True,True,True,True,18,16,11,True,False,1673,True,True,none_flagged,ymyl_health-mobile.json
ymyl_tax_guide,YMYL tax guide,https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling,/netherlands/taxes/30-percent-ruling,mobile,YMYL informational,0.78,5747,5.7 s,poor,0,good,not_measured,102,low_risk,1374,5747,1374,16,0.16,799184,450,2,75193,5377,True,True,True,True,6,4,0,True,False,1411,True,True,performance_induced_risk,ymyl_tax_guide-mobile.json
ymyl_visa_guide,YMYL visa guide,https://www.expatcopilot.com/netherlands/visa/highly-skilled-migrant,/netherlands/visa/highly-skilled-migrant,mobile,YMYL informational,0.93,3182,3.2 s,needs_improvement,0,good,not_measured,92,low_risk,1232,3915,1465,16,0.428,771341,300,2,61108,4874,True,True,True,True,9,7,5,True,False,430,True,True,none_flagged,ymyl_visa_guide-mobile.json
homepage_redirect,Homepage redirect,https://www.expatcopilot.com/,/,curl,Redirect,,,,n/a,,n/a,not_measured,,n/a,,,,,0.094,,,,12870,6,False,True,False,True,0,0,0,False,False,0,False,False,redirect_hop,_ssr-ux-signals.json
not_found_404,404,https://www.expatcopilot.com/netherlands/audit-intentionally-missing-page-404,/netherlands/audit-intentionally-missing-page-404,curl,Error,,,,n/a,,n/a,not_measured,,n/a,,,,,0.242,,,,9044,252,True,True,False,True,1,0,0,False,False,0,True,True,error_page,_ssr-ux-signals.json
redirect_legacy,Legacy redirect,https://www.expatcopilot.com/netherlands/moving,/netherlands/moving,curl,Redirect,,,,n/a,,n/a,not_measured,,n/a,,,,,0.074,,,,15,1,False,False,False,False,0,0,0,False,False,0,False,False,redirect_hop,_ssr-ux-signals.json
