"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Internal outlinks to 4xx"	"Internal outlinks codes (4xx)"	"No. of internal outlinks to 4xx"	"External outlinks to 4xx"	"External outlinks codes (4xx)"	"No. of external outlinks to 4xx"
"52"	"https://www.expatcopilot.com/netherlands/services/rental-agencies"	"Rental Agencies in the Netherlands for Expats: Compare Trusted Rental Brokers and Services | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/estate-agents
https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/removal-companies
https://www.expatcopilot.com/netherlands/services/storage-companies"	"404
404
404
404"	"4"	""	""	"0"
"48"	"https://www.expatcopilot.com/netherlands/services/relocation-agencies"	"Relocation Agencies in the Netherlands for Expats: Compare Trusted Providers | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/removal-companies"	"404
404"	"2"	""	""	"0"
"46"	"https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator"	"Zorgtoeslag Calculator & Healthcare Allowance Netherlands 2026 | Income & Asset Limits | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/compare-health-insurance"	"404"	"1"	""	""	"0"
"46"	"https://www.expatcopilot.com/netherlands/jobs/dutch-workplace-culture"	"Dutch Workplace Culture | Complete Expat Career Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/cv-netherlands
https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands"	"404
404"	"2"	""	""	"0"
"46"	"https://www.expatcopilot.com/netherlands/services/tax-advisors"	"Tax Advisors for Expats in the Netherlands | Dutch Tax & Expat Specialists | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants
https://www.expatcopilot.com/netherlands/services/insurance-brokers
https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/notaries
https://www.expatcopilot.com/netherlands/services/recruitment-agencies
https://www.expatcopilot.com/netherlands/services/removal-companies"	"404
404
404
404
404
404
404"	"7"	""	""	"0"
"45"	"https://www.expatcopilot.com/netherlands/taxes/gross-vs-net-salary"	"Gross vs Net Salary in the Netherlands | Dutch Salary Explained | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/services/mortgage-advisors"	"Mortgage Advisors in the Netherlands for Expats | Find Trusted Advisors | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/estate-agents
https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/notaries
https://www.expatcopilot.com/netherlands/services/recruitment-agencies
https://www.expatcopilot.com/netherlands/services/removal-companies
https://www.expatcopilot.com/netherlands/services/storage-companies"	"404
404
404
404
404
404"	"6"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/expat-salary-netherlands"	"Expat Salary in the Netherlands | Salary Expectations, Taxes & Cost of Living | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/cv-netherlands
https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/leaving-netherlands-tax"	"Taxes When Leaving the Netherlands | Expat Exit Tax Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/expat-tax-services"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/employee-rights-netherlands"	"Employee Rights in the Netherlands | Expat Work Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/career-coaches
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/minimum-wage-netherlands"	"Minimum Wage in the Netherlands | Salary, Taxes & Cost of Living Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/salary-negotiation-netherlands"	"Salary Negotiation in the Netherlands | Expat Guide to Dutch Job Offers | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/cover-letter-netherlands
https://www.expatcopilot.com/netherlands/jobs/cv-netherlands
https://www.expatcopilot.com/netherlands/jobs/english-speaking-jobs-netherlands
https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands
https://www.expatcopilot.com/netherlands/jobs/linkedin-netherlands
https://www.expatcopilot.com/netherlands/jobs/networking-netherlands
https://www.expatcopilot.com/netherlands/jobs/recruitment-agencies-netherlands
https://www.expatcopilot.com/netherlands/jobs/remote-work-netherlands"	"404
404
404
404
404
404
404
404"	"8"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/employment-contract-netherlands"	"Employment Contracts in the Netherlands | Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/career-coaches
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/taxes-after-moving-netherlands"	"Taxes After Moving to the Netherlands | Expat Tax Starter Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/expat-tax-services
https://www.expatcopilot.com/netherlands/services/payroll-services"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/utilities/internet-and-mobile-netherlands"	"Internet and Mobile in the Netherlands | Complete Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/energy-providers
https://www.expatcopilot.com/netherlands/services/internet-providers
https://www.expatcopilot.com/netherlands/services/phone-providers"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/life/making-dutch-friends"	"Making Dutch Friends | The Complete Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/hiking-netherlands"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/notice-period-netherlands"	"Notice Periods in the Netherlands | Expat Employment Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/career-coaches
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/utilities/energy-and-water-netherlands"	"Energy and Water in the Netherlands | Complete Expat Utility Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/energy-providers
https://www.expatcopilot.com/netherlands/services/internet-providers
https://www.expatcopilot.com/netherlands/services/phone-providers"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/services/financial-advisors"	"Financial Advisors in the Netherlands for Expats | Find Trusted Advisors | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants
https://www.expatcopilot.com/netherlands/services/estate-agents
https://www.expatcopilot.com/netherlands/services/insurance-brokers
https://www.expatcopilot.com/netherlands/services/notaries
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404
404
404
404
404"	"6"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/pension-netherlands-expats"	"Pension in the Netherlands for Expats | Dutch Retirement System Explained | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/payroll-services"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/net-salary-netherlands"	"Net Salary in the Netherlands | Gross to Net Salary Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/probation-period-netherlands"	"Probation Period in the Netherlands (Proeftijd) | Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/career-coaches
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands"	"Starting a Business in the Netherlands | Complete Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/starting-consultancy-netherlands
https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work"	"Dutch Directness at Work | Understanding Dutch Workplace Communication | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/cv-netherlands
https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/average-salary-netherlands"	"Average Salary in the Netherlands | Income, Cities, Industries & Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/freelancing-netherlands"	"Freelancing in the Netherlands | ZZP & Self-Employment Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/remote-work-netherlands
https://www.expatcopilot.com/netherlands/jobs/starting-consultancy-netherlands
https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants
https://www.expatcopilot.com/netherlands/services/career-coaches
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404
404
404
404
404"	"6"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/employee-benefits-netherlands"	"Employee Benefits in the Netherlands | Expat Guide to Dutch Work Benefits | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/business/zzp-netherlands"	"ZZP in the Netherlands | Complete Expat & Freelancer Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/starting-consultancy-netherlands
https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/payroll-tax-netherlands"	"Payroll Tax in the Netherlands | Dutch Salary Deductions Explained | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/contractor-vs-employee-netherlands"	"Contractor vs Employee in the Netherlands | Expat Comparison Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/starting-consultancy-netherlands
https://www.expatcopilot.com/netherlands/services/accountants
https://www.expatcopilot.com/netherlands/services/business-consultants"	"404
404
404"	"3"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/services/insurance-providers"	"Insurance Providers in the Netherlands for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/insurance-brokers"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/jobs/holiday-allowance-netherlands"	"Holiday Allowance in the Netherlands | Vakantiegeld Explained for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/payroll-services
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404"	"2"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/housing/mortgages-netherlands-expats"	"Mortgages in the Netherlands for Expats | Dutch Mortgage Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/real-estate-agents"	"404"	"1"	""	""	"0"
"44"	"https://www.expatcopilot.com/netherlands/taxes/rent-allowance-netherlands"	"Rent Allowance in the Netherlands (Huurtoeslag) | Expat Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/expat-housing-agencies"	"404"	"1"	""	""	"0"
"22"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"	"Shopping & Groceries in the Netherlands | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/asian-supermarkets-netherlands
https://www.expatcopilot.com/netherlands/living/best-supermarkets-netherlands
https://www.expatcopilot.com/netherlands/living/cheap-groceries-netherlands
https://www.expatcopilot.com/netherlands/living/dutch-supermarkets
https://www.expatcopilot.com/netherlands/living/food-delivery-netherlands
https://www.expatcopilot.com/netherlands/living/indian-supermarkets-netherlands
https://www.expatcopilot.com/netherlands/living/international-supermarkets-netherlands
https://www.expatcopilot.com/netherlands/living/meal-kits-netherlands
https://www.expatcopilot.com/netherlands/living/restaurants-netherlands
https://www.expatcopilot.com/netherlands/living/south-african-shops-netherlands
https://www.expatcopilot.com/netherlands/living/tipping-netherlands
https://www.expatcopilot.com/netherlands/living/turkish-supermarkets-netherlands"	"404
404
404
404
404
404
404
404
404
404
404
404"	"12"	""	""	"0"
"21"	"https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands"	"Bringing Pets to the Netherlands: Rules, Documents & Travel Tips | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/pet-relocation-companies"	"404"	"1"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/family/pets-netherlands"	"Pets in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/pet-relocation-companies"	"404"	"1"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands"	"Health Insurance Comparison in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/insurance-brokers"	"404"	"1"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/living/ov-chipkaart-netherlands"	"OV-chipkaart in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/bike-sharing-netherlands
https://www.expatcopilot.com/netherlands/living/cycling-netherlands
https://www.expatcopilot.com/netherlands/living/metro-netherlands
https://www.expatcopilot.com/netherlands/living/regional-buses-netherlands
https://www.expatcopilot.com/netherlands/living/train-discounts-netherlands
https://www.expatcopilot.com/netherlands/living/trams-netherlands
https://www.expatcopilot.com/netherlands/living/weekend-travel-netherlands"	"404
404
404
404
404
404
404"	"7"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/living/ns-trains-netherlands"	"NS Trains in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/bike-sharing-netherlands
https://www.expatcopilot.com/netherlands/living/metro-netherlands
https://www.expatcopilot.com/netherlands/living/train-discounts-netherlands
https://www.expatcopilot.com/netherlands/living/trams-netherlands
https://www.expatcopilot.com/netherlands/living/weekend-travel-netherlands"	"404
404
404
404
404"	"5"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/education/daycare-netherlands"	"Daycare in the Netherlands | Complete Guide for Expat Families | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/daycare-providers
https://www.expatcopilot.com/netherlands/services/international-schools"	"404
404"	"2"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/family/family-activities-netherlands"	"Family Activities in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/hidden-gems-netherlands
https://www.expatcopilot.com/netherlands/living/museums-netherlands
https://www.expatcopilot.com/netherlands/living/weekend-trips-netherlands"	"404
404
404"	"3"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/living/ovpay-netherlands"	"OVpay in the Netherlands | Complete Guide for Expats | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/bike-sharing-netherlands
https://www.expatcopilot.com/netherlands/living/cycling-netherlands
https://www.expatcopilot.com/netherlands/living/metro-netherlands
https://www.expatcopilot.com/netherlands/living/regional-buses-netherlands
https://www.expatcopilot.com/netherlands/living/train-discounts-netherlands
https://www.expatcopilot.com/netherlands/living/trams-netherlands
https://www.expatcopilot.com/netherlands/living/weekend-travel-netherlands"	"404
404
404
404
404
404
404"	"7"	""	""	"0"
"20"	"https://www.expatcopilot.com/netherlands/services/mobile-connectivity"	"Mobile & Connectivity for Expats in the Netherlands: SIM, Data & Local Numbers | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/energy-providers
https://www.expatcopilot.com/netherlands/services/internet-providers
https://www.expatcopilot.com/netherlands/services/phone-providers"	"404
404
404"	"3"	""	""	"0"
