"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Is indexable page"	"No. of all inlinks"	"First found at"
"0"	"https://www.expatcopilot.com/netherlands/services/daycare-providers"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/education/daycare-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/banking-finance"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/services/banks"
"0"	"https://www.expatcopilot.com/netherlands/jobs/linkedin-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/living/meal-kits-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/living/tipping-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/accountants"	""	""	"false"	"404"	"0"	"1"	"false"	"11"	"https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/jobs/remote-work-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"3"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/payroll-services"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"3"	"https://www.expatcopilot.com/netherlands/jobs/holiday-allowance-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/international-schools"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/education/daycare-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/living/metro-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/living/hidden-gems-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/family/family-activities-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/living/indian-supermarkets-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/moving-companies"	""	""	"false"	"404"	"0"	"1"	"false"	"6"	"https://www.expatcopilot.com/netherlands/services/housing-platforms"
"0"	"https://www.expatcopilot.com/netherlands/living/bike-sharing-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"5"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/living/hiking-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/life/making-dutch-friends"
"0"	"https://www.expatcopilot.com/netherlands/living/weekend-trips-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/family/family-activities-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/removal-companies"	""	""	"false"	"404"	"0"	"1"	"false"	"6"	"https://www.expatcopilot.com/netherlands/services/housing-platforms"
"0"	"https://www.expatcopilot.com/netherlands/living/turkish-supermarkets-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/living/dutch-supermarkets"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/business-consultants"	""	""	"false"	"404"	"0"	"1"	"false"	"6"	"https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	""	""	"false"	"404"	"0"	"1"	"false"	"14"	"https://www.expatcopilot.com/netherlands/jobs/employee-benefits-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/living/trams-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/living/cycling-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/living/museums-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/family/family-activities-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/jobs/cv-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"5"	"https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work"
"0"	"https://www.expatcopilot.com/netherlands/services/notaries"	""	""	"false"	"404"	"0"	"1"	"false"	"3"	"https://www.expatcopilot.com/netherlands/services/financial-advisors"
"0"	"https://www.expatcopilot.com/netherlands/living/asian-supermarkets-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/real-estate-agents"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/housing/mortgages-netherlands-expats"
"0"	"https://www.expatcopilot.com/netherlands/services/internet-providers"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/services/mobile-connectivity"
"0"	"https://www.expatcopilot.com/netherlands/services/documents-legal"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/services/immigration-lawyers"
"0"	"https://www.expatcopilot.com/netherlands/jobs/networking-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
