section,item,status,detail,pass
residual_404,/netherlands/services/notaries,404,edges=3; sources=/netherlands/services/financial-advisors,NO
residual_404,/netherlands/living/hiking-netherlands,404,edges=2; sources=/netherlands/life/making-dutch-friends,NO
residual_404,/netherlands/services/estate-agents,404,"edges=2; sources=/netherlands/services/financial-advisors, /netherlands/services/rental-agencies",NO
residual_404,/netherlands/services/documents-legal,404,"edges=2; sources=/netherlands/services/immigration-lawyers, /netherlands/services/visa-consultants",NO
residual_404,/netherlands/services/expat-tax-services,404,"edges=2; sources=/netherlands/taxes/leaving-netherlands-tax, /netherlands/taxes/taxes-after-moving-netherlands",NO
residual_404,/netherlands/services/compare-health-insurance,404,edges=2; sources=/netherlands/taxes/tools/healthcare-allowance-estimator,NO
residual_404,/netherlands/services/international-schools,404,edges=1; sources=/netherlands/education/daycare-netherlands,NO
residual_404,/netherlands/living/weekend-trips-netherlands,404,edges=1; sources=/netherlands/family/family-activities-netherlands,NO
residual_404,/netherlands/living/hidden-gems-netherlands,404,edges=1; sources=/netherlands/family/family-activities-netherlands,NO
residual_404,/netherlands/jobs/networking-netherlands,404,edges=1; sources=/netherlands/jobs/finding-jobs-netherlands,NO
residual_404,/netherlands/jobs/linkedin-netherlands,404,edges=1; sources=/netherlands/jobs/finding-jobs-netherlands,NO
residual_404,/netherlands/services/banking-finance,404,edges=1; sources=/netherlands/services/banks,NO
residual_404,/netherlands/services/phone-providers,404,edges=1; sources=/netherlands/services/mobile-connectivity,NO
residual_404,/netherlands/services/internet-providers,404,edges=1; sources=/netherlands/services/mobile-connectivity,NO
residual_404,/netherlands/services/energy-providers,404,edges=1; sources=/netherlands/services/mobile-connectivity,NO
residual_404,/netherlands/services/storage-companies,404,edges=1; sources=/netherlands/services/rental-agencies,NO
residual_404,/netherlands/services/payroll-services,404,edges=1; sources=/netherlands/taxes/taxes-after-moving-netherlands,NO
