destination,edge_count,source_pages,shared_component_or_model,route_status,recommended_fix,cleared_local
/netherlands/living/weekend-trips-netherlands,1,/netherlands/family/family-activities-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/living/hidden-gems-netherlands,1,/netherlands/family/family-activities-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/jobs/networking-netherlands,1,/netherlands/jobs/finding-jobs-netherlands,hardcoded_inline_remove,coming-soon_or_hidden,FindingJobsNetherlandsView inline Links,YES
/netherlands/jobs/linkedin-netherlands,1,/netherlands/jobs/finding-jobs-netherlands,hardcoded_inline_remove,coming-soon_or_hidden,FindingJobsNetherlandsView inline Links,YES
/netherlands/services/banking-finance,1,/netherlands/services/banks,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/phone-providers,1,/netherlands/services/mobile-connectivity,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/internet-providers,1,/netherlands/services/mobile-connectivity,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/energy-providers,1,/netherlands/services/mobile-connectivity,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/storage-companies,1,/netherlands/services/rental-agencies,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/payroll-services,1,/netherlands/taxes/taxes-after-moving-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
